year;state;month;number
2015;Amapa;Novembro;1.424
2016;Amapa;Novembro;1.104
2017;Amapa;Novembro;972
2018;Amapa;Novembro;450
2019;Amapa;Novembro;503
2020;Amapa;Novembro;76
2021;Amapa;Novembro;103
2022;Amapa;Novembro;117
2012;Amapa;Dezembro;510
2013;Amapa;Dezembro;197
2014;Amapa;Dezembro;386
2015;Amapa;Dezembro;327
2016;Amapa;Dezembro;463
2017;Amapa;Dezembro;406
2018;Amapa;Dezembro;0
2019;Amapa;Dezembro;67
2020;Amapa;Dezembro;38
2021;Amapa;Dezembro;5
2022;Amapa;Dezembro;6
2012;Amazonas;Janeiro;8
2013;Amazonas;Janeiro;43
2014;Amazonas;Janeiro;71
2015;Amazonas;Janeiro;38
2016;Amazonas;Janeiro;654
2017;Amazonas;Janeiro;62
2018;Amazonas;Janeiro;46
2019;Amazonas;Janeiro;35
2020;Amazonas;Janeiro;197
2021;Amazonas;Janeiro;37
2022;Amazonas;Janeiro;157
2012;Amazonas;Fevereiro;8
2013;Amazonas;Fevereiro;4
2014;Amazonas;Fevereiro;17
2015;Amazonas;Fevereiro;71
2016;Amazonas;Fevereiro;252
2017;Amazonas;Fevereiro;21
2018;Amazonas;Fevereiro;93
2019;Amazonas;Fevereiro;90
2020;Amazonas;Fevereiro;73
2021;Amazonas;Fevereiro;33
2022;Amazonas;Fevereiro;18
2012;Amazonas;Março;5
2013;Amazonas;Março;23
2014;Amazonas;Março;30
2015;Amazonas;Março;25
2016;Amazonas;Março;105
2017;Amazonas;Março;24
2018;Amazonas;Março;54
2019;Amazonas;Março;114
2020;Amazonas;Março;77
2021;Amazonas;Março;17
2022;Amazonas;Março;15
2012;Amazonas;Abril;8
2013;Amazonas;Abril;26
2014;Amazonas;Abril;20
2015;Amazonas;Abril;20
2016;Amazonas;Abril;13
2017;Amazonas;Abril;15
2018;Amazonas;Abril;14
2019;Amazonas;Abril;10
2020;Amazonas;Abril;12
2021;Amazonas;Abril;18
2022;Amazonas;Abril;15
2012;Amazonas;Maio;15
2013;Amazonas;Maio;21
2014;Amazonas;Maio;17
2015;Amazonas;Maio;11
2016;Amazonas;Maio;26
2017;Amazonas;Maio;33
2018;Amazonas;Maio;19
2019;Amazonas;Maio;21
2020;Amazonas;Maio;15
2021;Amazonas;Maio;45
2022;Amazonas;Maio;81
2012;Amazonas;Junho;58
2013;Amazonas;Junho;81
2014;Amazonas;Junho;73
2015;Amazonas;Junho;34
2016;Amazonas;Junho;84
2017;Amazonas;Junho;95
2018;Amazonas;Junho;123
2019;Amazonas;Junho;57
2020;Amazonas;Junho;122
2021;Amazonas;Junho;74
2022;Amazonas;Junho;82
2012;Amazonas;Julho;316
2013;Amazonas;Julho;359
2014;Amazonas;Julho;253
2015;Amazonas;Julho;365
2016;Amazonas;Julho;1.087
2017;Amazonas;Julho;1.534
2018;Amazonas;Julho;1.346
2019;Amazonas;Julho;1.371
2020;Amazonas;Julho;2.119
2021;Amazonas;Julho;1.173
2022;Amazonas;Julho;1.428
2012;Amazonas;Agosto;3.616
2013;Amazonas;Agosto;1.981
2014;Amazonas;Agosto;3.604
2015;Amazonas;Agosto;4.235
2016;Amazonas;Agosto;3.652
2017;Amazonas;Agosto;4.793
2018;Amazonas;Agosto;2.589
2019;Amazonas;Agosto;6.668
2020;Amazonas;Agosto;8030
2021;Amazonas;Agosto;8.588
2022;Amazonas;Agosto;8.116
2012;Amazonas;Setembro;2.731
2013;Amazonas;Setembro;2.204
2014;Amazonas;Setembro;3.148
2015;Amazonas;Setembro;5.004
2016;Amazonas;Setembro;2.785
2017;Amazonas;Setembro;3.185
2018;Amazonas;Setembro;4.928
2019;Amazonas;Setembro;3.026
2020;Amazonas;Setembro;4270
2021;Amazonas;Setembro;2.799
2022;Amazonas;Setembro;8.659
2012;Amazonas;Outubro;1.484
2013;Amazonas;Outubro;1.235
2014;Amazonas;Outubro;793
2015;Amazonas;Outubro;2.233
2016;Amazonas;Outubro;1.913
2017;Amazonas;Outubro;1190
2018;Amazonas;Outubro;1.725
2019;Amazonas;Outubro;548
2020;Amazonas;Outubro;1.265
2021;Amazonas;Outubro;1.773
2022;Amazonas;Outubro;1.503
2012;Amazonas;Novembro;749
2013;Amazonas;Novembro;258
2014;Amazonas;Novembro;692
2015;Amazonas;Novembro;909
2016;Amazonas;Novembro;497
2017;Amazonas;Novembro;486
2018;Amazonas;Novembro;472
2019;Amazonas;Novembro;573
2020;Amazonas;Novembro;374
2021;Amazonas;Novembro;248
2022;Amazonas;Novembro;961
2012;Amazonas;Dezembro;116
2013;Amazonas;Dezembro;277
2014;Amazonas;Dezembro;289
2015;Amazonas;Dezembro;474
2016;Amazonas;Dezembro;105
2017;Amazonas;Dezembro;247
2018;Amazonas;Dezembro;37
2019;Amazonas;Dezembro;163
2020;Amazonas;Dezembro;175
2021;Amazonas;Dezembro;43
2022;Amazonas;Dezembro;182
2012;Bahia;Janeiro;226
2013;Bahia;Janeiro;161
2014;Bahia;Janeiro;123
2015;Bahia;Janeiro;240
2016;Bahia;Janeiro;240
2017;Bahia;Janeiro;150
2018;Bahia;Janeiro;102
2019;Bahia;Janeiro;212
2020;Bahia;Janeiro;164
2021;Bahia;Janeiro;220
2022;Bahia;Janeiro;149
2012;Bahia;Fevereiro;242
2013;Bahia;Fevereiro;282
2014;Bahia;Fevereiro;84
2015;Bahia;Fevereiro;124
2016;Bahia;Fevereiro;340
2017;Bahia;Fevereiro;91
2018;Bahia;Fevereiro;45
2019;Bahia;Fevereiro;432
2020;Bahia;Fevereiro;153
2021;Bahia;Fevereiro;96
2022;Bahia;Fevereiro;137
2012;Bahia;Março;472
2013;Bahia;Março;441
2014;Bahia;Março;128
2015;Bahia;Março;183
2016;Bahia;Março;237
2017;Bahia;Março;160
2018;Bahia;Março;126
2019;Bahia;Março;475
2020;Bahia;Março;92
2021;Bahia;Março;530
2022;Bahia;Março;233
2012;Bahia;Abril;428
2013;Bahia;Abril;125
2014;Bahia;Abril;157
2015;Bahia;Abril;122
2016;Bahia;Abril;193
2017;Bahia;Abril;91
2018;Bahia;Abril;71
2019;Bahia;Abril;141
2020;Bahia;Abril;98
2021;Bahia;Abril;180
2022;Bahia;Abril;108
2012;Bahia;Maio;335
2013;Bahia;Maio;176
2014;Bahia;Maio;201
2015;Bahia;Maio;133
2016;Bahia;Maio;240
2017;Bahia;Maio;124
2018;Bahia;Maio;101
2019;Bahia;Maio;142
2020;Bahia;Maio;95
2021;Bahia;Maio;447
2022;Bahia;Maio;396
2012;Bahia;Junho;387
2013;Bahia;Junho;228
2014;Bahia;Junho;235
2015;Bahia;Junho;233
2016;Bahia;Junho;388
2017;Bahia;Junho;213
2018;Bahia;Junho;190
2019;Bahia;Junho;186
2020;Bahia;Junho;244
2021;Bahia;Junho;367
2022;Bahia;Junho;632
2012;Bahia;Julho;909
2013;Bahia;Julho;378
2014;Bahia;Julho;235
2015;Bahia;Julho;300
2016;Bahia;Julho;340
2017;Bahia;Julho;234
2018;Bahia;Julho;281
2019;Bahia;Julho;337
2020;Bahia;Julho;341
2021;Bahia;Julho;732
2022;Bahia;Julho;530
2012;Bahia;Agosto;1810
2013;Bahia;Agosto;602
2014;Bahia;Agosto;606
2015;Bahia;Agosto;791
2016;Bahia;Agosto;727
2017;Bahia;Agosto;809
2018;Bahia;Agosto;477
2019;Bahia;Agosto;542
2020;Bahia;Agosto;437
2021;Bahia;Agosto;1470
2022;Bahia;Agosto;947
2012;Bahia;Setembro;6.815
2013;Bahia;Setembro;2.617
2014;Bahia;Setembro;2.472
2015;Bahia;Setembro;6.921
2016;Bahia;Setembro;1.729
2017;Bahia;Setembro;1.146
2018;Bahia;Setembro;1930
2019;Bahia;Setembro;1.896
2020;Bahia;Setembro;1.918
2021;Bahia;Setembro;6.491
2022;Bahia;Setembro;2770
2012;Bahia;Outubro;4.529
2013;Bahia;Outubro;1.866
2014;Bahia;Outubro;2.515
2015;Bahia;Outubro;4.695
2016;Bahia;Outubro;1.312
2017;Bahia;Outubro;3.144
2018;Bahia;Outubro;1.345
2019;Bahia;Outubro;1.783
2020;Bahia;Outubro;3.666
2021;Bahia;Outubro;3630
2022;Bahia;Outubro;3.675
2012;Bahia;Novembro;214
